#,Name,Discipline,COSPAR ID,SatCat #,Launch Mass,Dry Mass,On-board Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Semi-Major Axis,Period,Inclination,Longitude,Eccentricity,Epoch Start,Decay Date,Note
14.0,INSAT-1C,Communications Earth Sciences,1988-063A,19330,"1,152 kg (2,540 lb)",,,"22 July 1988, 4:42:00 IST",Ariane-3,"Centre Spatial Guyanais, Kourou","35,768.8 km (22,225.7 mi)","35,821.5 km (22,258.4 mi)","42,166 km (26,201 mi)",1436.2 mins,14.9°,95.03° E,0.00035,"22 July 1988, 00:42:00 IST",,Same as INSAT-1A. Served for only one-and-a-half years
15.0,INSAT-1D,Communications Earth Sciences,1990-051A,20643,"1,190 kg (2,620 lb)","550 kg (1,210 lb)",1000 W,"12 June 1990, 11:22:00 IST",Delta 4925,"Air Force Eastern Test Range, Florida","35,729.2 km (22,201.1 mi)","35,974 km (22,353 mi)","42,160 km (26,200 mi)",1435.9 mins,14.3°,71.66° E,0.00245,"12 June 1990, 1:30:00 IST",,Identical to INSAT-1A. Still in service. A third stage motor from its launch landed in Australia in 2008
16.0,IRS-1B,Earth Sciences,1991-061A,21688,"975 kg (2,150 lb)",,600 W,"29 August 1991, 12:18:00 IST",Vostok,"Baikonur Cosmodrome, Kazakhstan",892.6 km (554.6 mi),928 km (577 mi),"7,281 km (4,524 mi)",103.1 mins,99°,,0.00385,"29 August 1991, 1:30:00 IST",,Earth observation satellite. Improved version of IRS-1A
17.0,INSAT-2DT (Formerly ARABSAT-1C) (INSAT-2R),Communications,1992-010B,21894,"1,310 kg (2,890 lb)",,1400 W,"27 February 1992, 5:28:10 IST",Ariane-44L H10,"Centre Spatial Guyanais, Kourou","36,122.8 km (22,445.7 mi)","36,365.4 km (22,596.4 mi)","42,615 km (26,480 mi)",1459.2 mins,11.6°,21.41° W,0.00385,"29 August 1991, 1:30:00 IST",,Launched as Arabsat 1C. Procured in orbit from Arabsat in January 1998
18.0,SROSS-C (SROSS-3),Astronomy Earth Sciences Space Physics,1992-028A,21968,106.1 kg (234 lb),,45 W,"20 May 1992, 8:30:00 IST",ASLV-D3,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",255 km (158 mi),429 km (267 mi),,91 mins,46.03°,,0.01295,"21 May 1992, 1:30:00 IST",14 July 1992,Carried gamma ray astronomy and aeronomy payload
19.0,INSAT-2A,Communications Earth Sciences,1992-041A,22027,"1,906 kg (4,202 lb)","916 kg (2,019 lb)",~ 1000 W,"10 July 1992, 4:12:19 IST",Ariane-44L H10,"Centre Spatial Guyanais, Kourou","35,783.1 km (22,234.6 mi)","35,846.9 km (22,274.2 mi)","42,186 km (26,213 mi)",1437.2 mins,14.5°,16.18° E,0.00381,"10 July 1992, 1:30:00 IST",,First satellite in the second-generation Indian-built INSAT-2 series. Has enhanced capability over INSAT-1 series. Still in service
20.0,INSAT-2B,Communications Earth Sciences,1993-048B,22724,"1,931 kg (4,257 lb)","916 kg (2,019 lb)",~ 1000 W,"23 July 1993, 4:29:00 IST",Ariane-44L H10+,"Centre Spatial Guyanais, Kourou","35,812.9 km (22,253.1 mi)","35,941.2 km (22,332.8 mi)","42,248 km (26,252 mi)",1440.4 mins,13°,156.74° W,,,,Second satellite in INSAT-2 series. Identical to INSAT-2A. Still in service
21.0,IRS-1E,Earth Sciences,,,"846 kg (1,865 lb)",,415 W,20 September 1993,PSLV-D1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,Earth observation satellite. Did not achieve orbit
22.0,SROSS-C2,Astronomy Space Physics,1994-027A,23099,113 kg (249 lb),,45 W,"5 May 1994, 5:30:00 IST",ASLV-D4,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",433 km (269 mi),917 km (570 mi),,98.1 mins,46°,,0.03431,"4 May 1994, 1:30:00 IST",12 July 2001,Identical to SROSS-C
23.0,IRS-P2,Earth Sciences,1994-068A,23323,"870 kg (1,920 lb)",,510 W,"15 October 1994, 10:38:00 IST",PSLV-D2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",819.2 km (509.0 mi),820.8 km (510.0 mi),"7,190 km (4,470 mi)",101.1 mins,98.8°,,0.00533,"15 October 1994, 6:38:00 IST",,Earth observation satellite. Launched by second developmental flight of PSLV.Mission accomplished after 3 years of service in 1997
24.0,INSAT-2C,Communications,1995-067B,23731,"2,050 kg (4,520 lb)","946 kg (2,086 lb)",1320 W,"7 December 1995, 4:53:00 IST",Ariane-44L H10-3,"Centre Spatial Guyanais, Kourou","35,918.4 km (22,318.7 mi)","35,948.5 km (22,337.4 mi)","42,304 km (26,286 mi)",1443.2 mins,12°,60.57° E,,,,"Has additional capabilities such as mobile satellite service, business communication and television outreach beyond Indian boundaries. Still in service"
25.0,IRS-1C,Earth Sciences,1995-072A,23751,"1,250 kg (2,760 lb)",,809 W,"28 December 1995, 12:15:00 IST",Molniya-M,"Baikonur Cosmodrome, Kazakhstan",823 km (511 mi),824.9 km (512.6 mi),"7,194 km (4,470 mi)",101.2 mins,98.69°,,0.00014,"28 December 1995, 7:15:00 IST",,Earth observation satellite. Launched from Baikonur Cosmodrome
26.0,IRS-P3 (IRS B3),Astronomy Earth Sciences,1996-017A,23827,"930 kg (2,050 lb)",,817 W,"21 March 1996, 10:03:00 IST",PSLV-D3,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",820.9 km (510.1 mi),827.1 km (513.9 mi),"7,195 km (4,471 mi)",101.2 mins,98.7°,,0.00319,"21 March 1996, 5:23:00 IST",,Earth observation satellite. Carries remote sensing payload and an X-ray astronomy payload. Launched by third developmental flight of PSLV
27.0,INSAT-2D,Communications,1997-027B,24820,"2,079 kg (4,583 lb)","995 kg (2,194 lb)",1650 W,"4 June 1997, 4:50:00 IST",Ariane-44L H10-3,"Centre Spatial Guyanais, Kourou","33,225.6 km (20,645.4 mi)","35,917.5 km (22,318.1 mi)","40,942 km (25,440 mi)",1374.1 mins,13.5°,125.76° E,,,,Same as INSAT-2C. Inoperable since 4 October 1997 due to power bus anomaly
28.0,IRS-1D,Earth Sciences,1997-057A,24971,"920 kg (2,030 lb)",,809 W,"29 September 1997, 10:17:00 IST",PSLV-C1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",748.6 km (465.2 mi),823.3 km (511.6 mi),"7,156 km (4,447 mi)",100.4 mins,98.4°,,0.03719,"29 September 1997, 6:17:00 IST",,Earth observation satellite. Same as IRS-1C
29.0,INSAT-2E (APR-1),Communications Earth Sciences,1999-016A,25666,"2,550 kg (5,620 lb)","1,150 kg (2,540 lb)",,"2 April 1999, 8:30:00 IST",Ariane-42P H10-3,"Centre Spatial Guyanais, Kourou","35,932.1 km (22,327.2 mi)","36,003.3 km (22,371.4 mi)","42,338 km (26,308 mi)",1445 mins,5.3°,107.82° E,,,,Multipurpose communication and meteorological satellite
30.0,OceanSat-1 (IRS-P4),Earth Sciences,1999-029C,25758,"1,050 kg (2,310 lb)",,750 W,"26 May 1999, 11:52:00 IST",PSLV-C2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",723.9 km (449.8 mi),726.3 km (451.3 mi),"7,096 km (4,409 mi)",99.1 mins,98.2°,,0.00077,"26 May 1999, 8:12:00 IST",,Earth observation satellite. Carries an Ocean Colour Monitor (OCM) and a Multifrequency Scanning Microwave Radiometer (MSMR)
31.0,INSAT-3B,Communications,2000-016B,26108,"2,070 kg (4,560 lb)","970 kg (2,140 lb)",1712 W,"22 March 2000, 4:59:00 IST",Ariane-5G,"Centre Spatial Guyanais, Kourou","35,949.3 km (22,337.9 mi)","35,985.9 km (22,360.6 mi)","42,338 km (26,308 mi)",1445.0 mins,4.3°,107° W,,"30 June 2000, 00:59:00 IST",,"Multipurpose communication: business communication, developmental communication, and mobile communications"
32.0,GSAT-1 (GramSat-1),Communications Engineering,2001-015A,26745,"1,530 kg (3,370 lb)",,,"18 April 2001, 15:43:00 IST",GSLV-D1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","33,853.1 km (21,035.3 mi)","35,800.5 km (22,245.4 mi)","41,197 km (25,599 mi)",1387 mins,11.2°,17.37° E,0.02261,"18 April 2001, 11:43:00 IST",,"Experimental satellite for the first developmental flight of Geosynchronous Satellite Launch Vehicle, GSLV-D1. Did not complete its intended mission due to a shortfall in the GTO apogee"
33.0,TES,Earth Sciences,2001-049A,26957,"1,108 kg (2,443 lb)",,,"22 October 2001, 10:03:00 IST",PSLV-C3,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",514.6 km (319.8 mi),570.2 km (354.3 mi),"6,913 km (4,296 mi)",95.3 mins,97.7°,,0.00202,"22 October 2002, 6:03:00 IST",,"Experimental satellite to test technologies such as attitude and orbit control system, high-torque reaction wheels, new reaction control system, etc. This satellite carries a 1-meter resolution panchromatic camera, and is considered a prototype for future Indian ""spy satellites"""
34.0,INSAT-3C,Communications,2002-002A,27298,"2,750 kg (6,060 lb)","1,218 kg (2,685 lb)",2765 W,"24 January 2002, 5:17:00 IST",Ariane-42L H10-3,"Centre Spatial Guyanais, Kourou","35,786.9 km (22,236.9 mi)","35,800.6 km (22,245.5 mi)","42,164 km (26,199 mi)",1436.1 mins,0.6°,93.5° E,0.00245,,,Designed to augment the existing INSAT capacity for communication and broadcasting and provide continuity of the services of INSAT-2C
35.0,Kalpana-1 (MetSat-1),Earth Sciences,2002-043A,27525,"1,060 kg (2,340 lb)","498 kg (1,098 lb)",550 W,"12 September 2002, IST",PSLV-C4,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,741.2 km (22,208.6 mi)","35,845.9 km (22,273.6 mi)","42,166 km (26,201 mi)",1436.1 mins,6.3°,74° E,,,,"First meteorological satellite built by ISRO. Originally named METSAT-1, the satellite was subsequently renamed after Kalpana Chawla, who had perished in the Space Shuttle Columbia disaster"
36.0,INSAT-3A,Communications Earth Sciences,2003-013A,27714,"2,950 kg (6,500 lb)","1,348 kg (2,972 lb)",3100 W,"10 April 2003, 4:22:00 IST",Ariane-5G,"Centre Spatial Guyanais, Kourou","35,874.2 km (22,291.2 mi)","35,980.2 km (22,357.1 mi)","42,298 km (26,283 mi)",1442.9 mins,1.2°,87° E,,,,"Multipurpose satellite for communication, broadcasting, and meteorological services (similar to INSAT-2E and Kalpana-1"
37.0,GSAT-2 (GramSat-2),Communications,2003-018A,27807,"1,900 kg (4,200 lb)",,1400 W,"8 May 2003, 16:58:00 IST",GSLV-D2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,892.6 km (22,302.6 mi)","35,936.5 km (22,329.9 mi)","42,285 km (26,275 mi)",1442.3 mins,5°,199° W,,,,Experimental satellite for the second developmental test flight of Geosynchronous Satellite Launch Vehicle (GSLV)
38.0,INSAT-3E,Communications,2003-043E,27951,"2,775 kg (6,118 lb)","1,218 kg (2,685 lb)",,"28 September 2003, 4:44:00 IST",Ariane-5G,"Centre Spatial Guyanais, Kourou","35,576.4 km (22,106.2 mi)","35,716.3 km (22,193.1 mi)","42,017 km (26,108 mi)",1428.6 mins,2.5°,126.83° E,,28 September 2003 00:44:00 IST,,Communication satellite to augment the existing INSAT System
39.0,ResourceSat-1 (IRS-P6),Earth Sciences,2003-046A,28051,"1,360 kg (3,000 lb)",,,"17 October 2003, 10:24:00 IST",PSLV-C5,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",824.2 km (512.1 mi),829.5 km (515.4 mi),"7,197 km (4,472 mi)",101.3 mins,2.5°,,0.0016,"17 October 2003, 6:24:00 IST",,Earth observation/remote sensing satellite. Intended to supplement and replace IRS-1C and IRS-1D
40.0,GSAT-3(EduSat),Communications,2004-036A,28417,"1,950.5 kg (4,300 lb)","819.4 kg (1,806 lb)",2040 W,"20 September 2004, 16:01:00 IST",GSLV-F01,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","36,071.1 km (22,413.5 mi)","36,084.4 km (22,421.8 mi)","42,446 km (26,375 mi)",1450.6 mins,5.2°,158.51° W,,,,Also designated GSAT-3. India's first exclusive educational satellite
41.0,CartoSat-1,Earth Sciences,2005-017A,28649,"1,560 kg (3,440 lb)",,1100 W,"5 May 2005, 10:14:00 IST",PSLV-C6,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",623.2 km (387.2 mi),627.9 km (390.2 mi),"6,996 km (4,347 mi)",97.1 mins,97.9°,,0.00014,"5 May 2005, 6:14:00 IST",,Earth observation satellite. Provides stereographic in-orbit images with a 2.5-meter resolution
42.0,HamSat,Communications,2005-017B,28650,42.5 kg (94 lb),,,"5 May 2005, 10:14:00 IST",PSLV-C6,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",592 km (368 mi),626.4 km (389.2 mi),"6,980 km (4,340 mi)",96.7 mins,97.7°,,0.00271,"12 June 1990, 1:30:00 IST",,"This is a micro-satellite that was built as a collaboration between Indian and Dutch researchers, for providing satellite-based amateur radio services to the national as well as the international community"
43.0,INSAT-4A,Communications,2005-049A,28911,"3,081 kg (6,792 lb)","1,386.55 kg (3,056.8 lb)",5922 W,"22 December 2005, 4:03:00 IST",Ariane-5GS,"Centre Spatial Guyanais, Kourou","35,789.7 km (22,238.7 mi)","35,798.7 km (22,244.3 mi)","42,165 km (26,200 mi)",1436.1 mins,0.0°,83° E,,,,Advanced satellite for direct-to-home television broadcasting services
44.0,INSAT-4C,Communications,,,"2,180 kg (4,810 lb)",,,10 July 2006,GSLV-F02,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,Geosynchronous communications satellite. Did not achieve orbit
45.0,"CartoSat-2(IRS-P7 or, CartoSat-2AT)",Earth Sciences,2007-001B,29710,"680 kg (1,500 lb)",,900 W,"10 January 2007, 9:27:00 IST",PSLV-C7,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",639.1 km (397.1 mi),642.2 km (399.0 mi),"7,011 km (4,356 mi)",97.4 mins,97.9°,,0.00143,"4 January 2007, 4:27:00 IST",,Advanced remote sensing satellite carrying a panchromatic camera capable of providing scene-specific spot images
46.0,SRE-1,Engineering,2007-001C,29711,"615 kg (1,356 lb)","550 kg (1,210 lb)",,"10 January 2007, 9:27:00 IST",PSLV-C7,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",486 km (302 mi),643 km (400 mi),-,95.9 mins,97.9°,,0.01131,"4 January 2007, 4:27:00 IST",,Experimental satellite intended to demonstrate the technology of an orbiting platform for performing experiments in microgravity conditions. Launched as a co-passenger with CARTOSAT-2. SRE-1 was de-orbited and recovered successfully after 12 days over Bay of Bengal
47.0,INSAT-4B,Communications,2007-007A,30793,"3,025 kg (6,669 lb)",,5859 W,"12 March 2007, 3:33:00 IST",Ariane-5ECA,"Centre Spatial Guyanais, Kourou","35,761.1 km (22,220.9 mi)","35,827.1 km (22,261.9 mi)","42,165 km (26,200 mi)",1436.1 mins,0.0°,93.5° E,,,,Identical to INSAT-4A. Further augments the INSAT capacity for direct-to-home (DTH) television services and other communications. On the night of 7 July 2007 INSAT-4B experienced a power supply glitch which led to switching 'off' of 50 per cent of the transponder capacity (6 Ku and 6 C-Band transponders)
48.0,INSAT-4CR,Communications,2007-037A,32050,"2,130 kg (4,700 lb)",,3000 W,"2 September 2007, 18:21:00 IST",GSLV-F04,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,780.2 km (22,232.8 mi)","35,806.9 km (22,249.4 mi)","42,164 km (26,199 mi)",1436.1 mins,0.0°,47.5° E,,,,"Identical to INSAT-4C. It carried 12 high-power Ku-band transponders designed to provide direct-to-home (DTH) television services, Digital Satellite News Gathering etc."
49.0,CartoSat-2A,Earth Sciences,2008-021A,32783,"690 kg (1,520 lb)",,900 W,"28 April 2008, 9:24:00 IST",PSLV-C9,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",632 km (393 mi),649.2 km (403.4 mi),"7,011 km (4,356 mi)",97.4 mins,97.9°,,,"28 April 2008, 5:24:00 IST",,Earth observation/remote sensing satellite. Identical to CARTOSAT-2
50.0,"IMS-1 (Indian Mini-Satellite-1 or,(Third World Satellite – TWSat)",Earth Sciences,2008-021D,32786,83 kg (183 lb),,220 W,"28 April 2008, 9:24:00 IST",PSLV-C9,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",614 km (382 mi),629.4 km (391.1 mi),"6,992 km (4,345 mi)",97 mins,97.6°,,,"28 April 2008, 5:24:00 IST",,Low-cost microsatellite imaging mission. Launched as co-passenger with CARTOSAT-2A
51.0,Chandrayaan-1,Planetary Sciences,2008-052A,33405,"1,380 kg (3,040 lb)","523 kg (1,153 lb)",750 W,"22 October 2008, 6:22:00 IST",PSLV-C11,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",~ 100 km (62 mi) (initial)§~ 200 km (120 mi) (final)§,~ 100 km (62 mi) (initial)§~ 200 km (120 mi) (final)§,,,,,,"22 October 2008, 2:22:00 IST",,"India's first unmanned lunar probe. It carried 11 scientific instruments built and designed by India, USA, UK, Germany, Norway, Poland and Bulgaria. After a span of 9 months, the lunar craft faced debilitating failure, rendering most on-board systems inoperable. Additionally, faulty orientation of the SAR resulted in failed experiments, which eventually had to be abandoned."
52.0,RISAT-2,Earth Sciences,2009-019A,34807,300 kg (660 lb),,,"20 April 2009, 6:45:00 IST",PSLV-C12,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",470.6 km (292.4 mi),478.5 km (297.3 mi),"6,845 km (4,253 mi)",93.9 mins,41.2°,,,,,Radar imaging satellite used to monitor India's borders and as part of anti-infiltration and anti-terrorist operations. Launched as a co-passenger with ANUSAT
53.0,AnuSat-1,Communications,2009-019B,34808,40 kg (88 lb),,,"20 April 2009, 6:45:00 IST",PSLV-C12,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,90 mins,,,,,18 April 2012,This was a research micro-satellite designed at Anna University that carries an amateur radio and technology demonstration experiments. It has since been retired
54.0,OceanSat-2,Earth Sciences,2009-051A,35931,"960 kg (2,120 lb)",,1360 W,"23 September 2009, 11:51:00 IST",PSLV-C14,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",728.2 km (452.5 mi),731.9 km (454.8 mi),"7,101 km (4,412 mi)",99.3 mins,98.3°,,,,,"Gathers data for oceanographic, coastal and atmospheric applications. Continues mission of Oceansat-1"
55.0,GSAT-4,Communications,,,"2,220 kg (4,890 lb)",,,15 April 2010,GSLV-D3,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,"Communications satellite with technology demonstrator features (electric propulsion, Li-Ion battery, bus management unit). Failed to reach orbit due to GSLV-D3 failure"
56.0,CartoSat-2B,Earth Sciences,2010-035A,36795,"694 kg (1,530 lb)",,930 W,"12 July 2010, 9:22:00 IST",PSLV-C15,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",629.9 km (391.4 mi),651.4 km (404.8 mi),"7,011 km (4,356 mi)",97.4 mins,97.9°,,,,,Earth observation/remote sensing satellite (Identical to CartoSat-2A)
57.0,StudSat (STUDent SATellite),Earth Sciences,2010-035B,36796,< 1 kg (2.2 lb),,,"12 July 2010, 9:22:00 IST",PSLV-C15,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",605.5 km (376.2 mi),622.7 km (386.9 mi),"6,985 km (4,340 mi)",96.8 mins,98.0°,,,,,India's first pico-satellite (weighing less than 1 kg). It was designed and developed by a team from seven Engineering colleges in Karnataka and Andhra Pradesh
58.0,GSAT-5P(INSAT-4D),Communications,,,"2,310 kg (5,090 lb)",,,25 December 2010,GSLV-F06,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,"C-band communication satellite, failed to reach orbit due to GSLV-F06 failure"
59.0,ResourceSat-2,Earth Sciences Technology Applications,2011-015A,37387,"1,206 kg (2,659 lb)",,1250 W,"20 April 2011, 10:12:00 IST",PSLV-C16,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",825.2 km (512.8 mi),828.7 km (514.9 mi),"7,197 km (4,472 mi)",101.3 mins,98.7°,,,,,"This is ISRO's eighteenth remote-sensing satellite, and essentially carries on the work began by ResourceSat-1"
60.0,YouthSat (IMS-2),Solar Physics Space Physics,2011-015B,37388,92 kg (203 lb),,,"20 April 2011, 10:12:00 IST",PSLV-C16,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",808.6 km (502.4 mi),828.2 km (514.6 mi),"7,189 km (4,467 mi)",101.1 mins,98.6°,,,,,Indo-Russian stellar and atmospheric mini-satellite with the participation of university students
61.0,"GSAT-8 (GramSat-8, or INSAT-4G)",Communications,2011-022A,37605,"3,093 kg (6,819 lb)","1,426 kg (3,144 lb)",6242 W,"21 May 2011, 2:08:00 IST",Ariane-5 VA-202,"Centre Spatial Guyanais, Kourou","35,781 km (22,233 mi)","35,806.3 km (22,249.0 mi)","42,164 km (26,199 mi)",1436.1 mins,0.0°,55° E,,,,Communications satellite carries 24 Ku-band transponders and 2 channel GAGAN payload operating in L1 and L5 band
62.0,GSAT-12 (GramSat-12),Communications,2011-034A,37746,"1,410 kg (3,110 lb)","559 kg (1,232 lb)",1430 W,"15 July 2011, 16:48:00 IST",PSLV-C17,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,761.6 km (22,221.2 mi)","35,825.9 km (22,261.2 mi)","42,164 km (26,199 mi)",1436.1 mins,0.0°,83° E,,"15 July 2011, 12:48:00 IST",,"The GSAT-12 is configured to carry 12 Extended C-band transponders to augment the capacity in the INSAT system for various communication services like Tele-education, Telemedicine and for Village Resource Centres (VRC). Mission life is expected to be about 8 years"
63.0,Megha-Tropiques,Earth Sciences,2011-058A,37838,"1,000 kg (2,200 lb)",,1325 W,"12 October 2011, 11:00:00 IST",PSLV-C18,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",860.5 km (534.7 mi),874.7 km (543.5 mi),"7,238 km (4,497 mi)",102.2 mins,20.0°,,,"12 October 2011, 7:00:00 IST",,Megha-Tropiques was developed jointly by ISRO and the French CNES
64.0,Jugnu,Earth Sciences Technology Applications,2011-058B,37839,3 kg (6.6 lb),,,"12 October 2011, 11:00:00 IST",PSLV-C18,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",843.9 km (524.4 mi),871.4 km (541.5 mi),"7,228 km (4,491 mi)",101.9 mins,20.0°,,,,,Nano-satellite developed by IIT Kanpur
